172.01,-113.81,-105.44
139.39,-111.43,-105.30
132.33,-112.39,-106.66
140.66,-119.50,-109.00
156.92,-132.02,-112.27
175.40,-148.13,-115.35
-171.83,-164.14,-116.09
-162.86,-178.82,-114.27
-153.83,167.80,-112.77
-145.78,156.76,-111.26
-137.81,148.00,-109.51
-128.47,140.40,-109.05
-120.73,131.66,-107.57
-113.37,123.15,-107.19
-104.73,116.52,-110.62
-95.36,111.18,-116.89
-84.42,107.43,-126.08
-72.79,105.34,-135.75
-64.39,104.42,-142.85
-58.29,103.92,-147.32
-55.68,107.14,-141.56
-50.27,111.41,-135.87
-40.02,118.35,-128.25
-34.77,128.82,-122.45
-42.66,141.69,-119.63
-59.29,156.28,-121.03
-82.96,168.98,-124.63
-93.69,-174.85,-128.00
-98.22,-159.52,-130.06
-104.44,-145.39,-128.64
-111.91,-132.45,-128.78
-119.65,-120.51,-129.59
-129.52,-113.64,-133.59
-130.78,-112.41,-136.66
-125.76,-113.70,-137.24
-121.45,-114.45,-137.25
-118.15,-114.33,-137.42
-114.95,-114.54,-138.51
