-78.06,-123.03,-119.36
-75.50,-123.71,-117.47
-71.98,-122.07,-112.52
-67.46,-118.93,-104.59
-63.56,-116.96,-92.04
-61.44,-62.68,-80.30
-60.10,-61.20,-73.00
-59.30,-60.68,-70.95
-59.23,-61.20,-74.46
-59.56,-60.84,-84.17
-60.92,-121.52,-96.50
-64.15,-128.83,-108.50
-72.00,-141.44,-113.00
-96.86,-160.65,-111.74
-135.28,-175.05,-105.43
-150.94,176.04,-100.09
-145.12,168.51,-101.85
-146.33,164.59,-101.02
-141.47,168.44,-104.37
-131.42,173.66,-107.56
-129.69,173.11,-111.43
-128.96,172.80,-111.90
-130.13,173.66,-111.31
